SubjectID,UTMEasting,UTMNorthing,ObservationDate,ObservationTime,ObsTimeDate
M115,185033,9785223,1-Apr-09,0:00,39904.00025
M115,185056,9785723,1-Apr-09,0:20,39904.01417
M115,184992,9785721,1-Apr-09,0:40,39904.02825
M115,185124,9786461,1-Apr-09,1:00,39904.0423
M115,185139,9787436,1-Apr-09,1:20,39904.05572
M115,185441,9788349,1-Apr-09,1:40,39904.06975
M115,185370,9789559,1-Apr-09,2:00,39904.08365
M115,185441,9790474,1-Apr-09,2:20,39904.09747
M115,184876,9790910,1-Apr-09,2:40,39904.11131
M115,184124,9790713,1-Apr-09,3:00,39904.12535
M115,183800,9790552,1-Apr-09,3:20,39904.13916
M115,183742,9789995,1-Apr-09,3:40,39904.15311
M115,182976,9790219,1-Apr-09,4:00,39904.16726
M115,182440,9791142,1-Apr-09,4:20,39904.18083
M115,183234,9791831,1-Apr-09,4:40,39904.19472
M115,183824,9792332,1-Apr-09,5:00,39904.2086
M115,184396,9792962,1-Apr-09,5:20,39904.22286
M115,185374,9793447,1-Apr-09,5:40,39904.23672
M115,185641,9793818,1-Apr-09,6:00,39904.25028
M115,185739,9793929,1-Apr-09,6:20,39904.2644
M115,185699,9793302,1-Apr-09,6:40,39904.27841
M115,185483,9792903,1-Apr-09,7:00,39904.29201
M115,185420,9792071,1-Apr-09,7:20,39904.30619
M115,185371,9791767,1-Apr-09,7:40,39904.32008
M115,185375,9791764,1-Apr-09,8:00,39904.3338
M115,185370,9791766,1-Apr-09,8:21,39904.34794
M115,185378,9791759,1-Apr-09,8:41,39904.36196
M115,185384,9791761,1-Apr-09,9:00,39904.3755
M115,185387,9791762,1-Apr-09,9:20,39904.38917
M115,185386,9791758,1-Apr-09,9:40,39904.40341
M115,185385,9791761,1-Apr-09,10:00,39904.4173
M115,185377,9791761,1-Apr-09,10:20,39904.43105
M115,185380,9791761,1-Apr-09,10:40,39904.44462
M115,185429,9791650,1-Apr-09,11:01,39904.45916
M115,185398,9791635,1-Apr-09,11:21,39904.47317
M115,185347,9791632,1-Apr-09,11:40,39904.48633
M115,185359,9791496,1-Apr-09,12:00,39904.50029
M115,185364,9791476,1-Apr-09,12:20,39904.51405
M115,185337,9791461,1-Apr-09,12:41,39904.52859
M115,185370,9791486,1-Apr-09,13:00,39904.54197
M115,185351,9791470,1-Apr-09,13:20,39904.55596
M115,185356,9791483,1-Apr-09,17:01,39904.70931
M115,185358,9791469,1-Apr-09,17:20,39904.72272
M115,185354,9791467,1-Apr-09,17:40,39904.73672
M115,185354,9791467,1-Apr-09,18:00,39904.75064
M115,185345,9791462,1-Apr-09,18:20,39904.76446
M115,185352,9791462,1-Apr-09,18:40,39904.77815
M115,185350,9791464,1-Apr-09,19:00,39904.79194
M115,185085,9791134,1-Apr-09,19:20,39904.80582
M115,184380,9791163,1-Apr-09,19:40,39904.8201
M115,183483,9790865,1-Apr-09,20:00,39904.83363
M115,183486,9790857,1-Apr-09,20:20,39904.84755
M115,183565,9790760,1-Apr-09,20:40,39904.86138
M115,183872,9790423,1-Apr-09,21:01,39904.87591
M115,183849,9790423,1-Apr-09,21:20,39904.88953
M115,183848,9790450,1-Apr-09,21:40,39904.90328
M115,183975,9789167,1-Apr-09,22:00,39904.91686
M115,184826,9788569,1-Apr-09,22:20,39904.93093
M115,185096,9787968,1-Apr-09,22:40,39904.94471
M115,185868,9787206,1-Apr-09,23:00,39904.9588
M115,186162,9786565,1-Apr-09,23:20,39904.97249
M115,185865,9785671,1-Apr-09,23:40,39904.98635
M115,185698,9785044,2-Apr-09,0:00,39905.00027
M115,185264,9784400,2-Apr-09,0:20,39905.01418
M115,184910,9785437,2-Apr-09,0:40,39905.02804
M115,184748,9786060,2-Apr-09,1:00,39905.0423
M115,184331,9786673,2-Apr-09,1:20,39905.05582
M115,184634,9787198,2-Apr-09,1:40,39905.06969
M115,184582,9787717,2-Apr-09,2:00,39905.0836
M115,184045,9788453,2-Apr-09,2:20,39905.09747
M115,183422,9789030,2-Apr-09,2:40,39905.11133
M115,182480,9789549,2-Apr-09,3:00,39905.12525
M115,181486,9789590,2-Apr-09,3:20,39905.13946
M115,180824,9789861,2-Apr-09,3:40,39905.15309
M115,180181,9790507,2-Apr-09,4:00,39905.16693
M115,180239,9791230,2-Apr-09,4:20,39905.1808
M115,180935,9791860,2-Apr-09,4:40,39905.19472
M115,181574,9791933,2-Apr-09,5:00,39905.20859
M115,182508,9791551,2-Apr-09,5:20,39905.22271
M115,183230,9791045,2-Apr-09,5:40,39905.23635
M115,184157,9790390,2-Apr-09,6:00,39905.2505
M115,185200,9790525,2-Apr-09,6:20,39905.26416
M115,185336,9791504,2-Apr-09,6:40,39905.27808
M115,185359,9791454,2-Apr-09,7:00,39905.29223
M115,185345,9791467,2-Apr-09,7:20,39905.30619
M115,185360,9791469,2-Apr-09,8:01,39905.33432
M115,185362,9791467,2-Apr-09,10:20,39905.4309
M115,185374,9791470,2-Apr-09,10:40,39905.44476
M115,185369,9791469,2-Apr-09,11:00,39905.45897
M115,185360,9791467,2-Apr-09,11:20,39905.47257
M115,185360,9791474,2-Apr-09,11:41,39905.48682
M115,185344,9791468,2-Apr-09,12:00,39905.50037
M115,185342,9791466,2-Apr-09,12:20,39905.51417
M115,185345,9791470,2-Apr-09,12:40,39905.52841
M115,185339,9791470,2-Apr-09,13:00,39905.54197
M115,185344,9791463,2-Apr-09,13:20,39905.55589
M115,185345,9791452,2-Apr-09,13:40,39905.57008
M115,185341,9791452,2-Apr-09,14:00,39905.58367
M115,185338,9791452,2-Apr-09,14:20,39905.59786
M115,185339,9791450,2-Apr-09,14:41,39905.61181
M115,185344,9791449,2-Apr-09,15:01,39905.62598
M115,185350,9791440,2-Apr-09,15:20,39905.63956
M115,185335,9791454,2-Apr-09,15:40,39905.65306
M115,185338,9791452,2-Apr-09,16:00,39905.6673
M115,185337,9791448,2-Apr-09,16:21,39905.68126
M115,185339,9791451,2-Apr-09,16:41,39905.69538
M115,185331,9791443,2-Apr-09,17:01,39905.70971
M115,185351,9791457,2-Apr-09,17:20,39905.72253
M115,185347,9791450,2-Apr-09,17:40,39905.73661
M115,185344,9791450,2-Apr-09,18:00,39905.75066
M115,185343,9791450,2-Apr-09,18:20,39905.76453
M115,185127,9791121,2-Apr-09,18:40,39905.77824
M115,185174,9790177,2-Apr-09,19:00,39905.79198
M115,185334,9789526,2-Apr-09,19:20,39905.80619
M115,185853,9788689,2-Apr-09,19:40,39905.81971
M115,185721,9787646,2-Apr-09,20:00,39905.83366
M115,184999,9787101,2-Apr-09,20:20,39905.84771
M115,184575,9787453,2-Apr-09,20:40,39905.86157
M115,184258,9788651,2-Apr-09,21:00,39905.87557
M115,183779,9789744,2-Apr-09,21:20,39905.88906
M115,183729,9790390,2-Apr-09,21:40,39905.90303
M115,183666,9790728,2-Apr-09,22:00,39905.91697
M115,183650,9790982,2-Apr-09,22:20,39905.9309
M115,183701,9791043,2-Apr-09,22:40,39905.94462
M115,183698,9791049,2-Apr-09,23:00,39905.95877
M115,183697,9791048,2-Apr-09,23:20,39905.97237
M115,183696,9791050,2-Apr-09,23:40,39905.98637
M115,183697,9791045,3-Apr-09,0:00,39906.00029
M115,183694,9791044,3-Apr-09,0:20,39906.01453
M115,183652,9791285,3-Apr-09,0:40,39906.02809
M115,183505,9792531,3-Apr-09,1:00,39906.04196
M115,183214,9793046,3-Apr-09,1:20,39906.05584
M115,182837,9793412,3-Apr-09,1:40,39906.06971
M115,182410,9793838,3-Apr-09,2:00,39906.08363
M115,182290,9794583,3-Apr-09,2:20,39906.09749
M115,181679,9794739,3-Apr-09,2:40,39906.11148
M115,180943,9794008,3-Apr-09,3:00,39906.12564
M115,180167,9793628,3-Apr-09,3:20,39906.13946
M115,179946,9793522,3-Apr-09,3:40,39906.15333
M115,179954,9793516,3-Apr-09,4:00,39906.16692
M115,180108,9792946,3-Apr-09,4:20,39906.1808
M115,180971,9792148,3-Apr-09,4:40,39906.1947
M115,181513,9790867,3-Apr-09,5:00,39906.20863
M115,182099,9790141,3-Apr-09,5:20,39906.22272
M115,182110,9790147,3-Apr-09,5:40,39906.23645
M115,182117,9790151,3-Apr-09,6:00,39906.25024
M115,182126,9790145,3-Apr-09,6:20,39906.26414
M115,182526,9789449,3-Apr-09,6:41,39906.27856
M115,182491,9789493,3-Apr-09,7:00,39906.2923
M115,182775,9789273,3-Apr-09,7:20,39906.30575
M115,182995,9788741,3-Apr-09,7:41,39906.32017
M115,182989,9788747,3-Apr-09,8:00,39906.33351
M115,182992,9788751,3-Apr-09,8:20,39906.34744
M115,182984,9788748,3-Apr-09,8:41,39906.36185
M115,182993,9788752,3-Apr-09,9:00,39906.37538
M115,182993,9788750,3-Apr-09,9:20,39906.38947
M115,182994,9788749,3-Apr-09,9:40,39906.40307
M115,182993,9788744,3-Apr-09,10:00,39906.4173
M115,182990,9788755,3-Apr-09,10:20,39906.43105
M115,182997,9788750,3-Apr-09,10:41,39906.44515
M115,182988,9788750,3-Apr-09,11:01,39906.45925
M115,183009,9788735,3-Apr-09,11:21,39906.47293
M115,182998,9788765,3-Apr-09,11:40,39906.48648
M115,182996,9788745,3-Apr-09,12:01,39906.50079
M115,182996,9788749,3-Apr-09,12:40,39906.52841
M115,182991,9788750,3-Apr-09,13:01,39906.54286
M115,182974,9788761,3-Apr-09,13:21,39906.55654
M115,182994,9788738,3-Apr-09,13:41,39906.57031
M115,182983,9788752,3-Apr-09,15:00,39906.62564
M115,182982,9788746,3-Apr-09,15:20,39906.63954
M115,182983,9788751,3-Apr-09,15:40,39906.65309
M115,182986,9788751,3-Apr-09,16:00,39906.6673
M115,183448,9788689,3-Apr-09,16:20,39906.68079
M115,183448,9788693,3-Apr-09,16:40,39906.69462
M115,183446,9788699,3-Apr-09,17:00,39906.7089
M115,183449,9788693,3-Apr-09,17:40,39906.73661
M115,183449,9788696,3-Apr-09,18:00,39906.7503
M115,183446,9788690,3-Apr-09,18:20,39906.7642
M115,183597,9788604,3-Apr-09,18:40,39906.77803
M115,183600,9788599,3-Apr-09,19:00,39906.79227
M115,183066,9787823,3-Apr-09,19:20,39906.8059
M115,182566,9786816,3-Apr-09,19:40,39906.81965
M115,181867,9786174,3-Apr-09,20:00,39906.83366
M115,181321,9785149,3-Apr-09,20:20,39906.84779
M115,181963,9784996,3-Apr-09,20:40,39906.86148
M115,183472,9784862,3-Apr-09,21:00,39906.87566
M115,184418,9784486,3-Apr-09,21:20,39906.88911
M115,184944,9784369,3-Apr-09,21:40,39906.90331
M115,185352,9785120,3-Apr-09,22:00,39906.91729
M115,184887,9785880,3-Apr-09,22:20,39906.93076
M115,184624,9787043,3-Apr-09,22:40,39906.94508
M115,184874,9787929,3-Apr-09,23:00,39906.95883
M115,184704,9788643,3-Apr-09,23:20,39906.9724
M115,185101,9789360,3-Apr-09,23:40,39906.98639
M115,185183,9789924,4-Apr-09,0:00,39907.00064
M115,185180,9789924,4-Apr-09,0:20,39907.0141
M115,185187,9789915,4-Apr-09,0:40,39907.02836
M115,185181,9789926,4-Apr-09,1:00,39907.04197
M115,185183,9789925,4-Apr-09,1:20,39907.05586
M115,185142,9790029,4-Apr-09,1:40,39907.06976
M115,184865,9790594,4-Apr-09,2:00,39907.08367
M115,184453,9790068,4-Apr-09,2:20,39907.09751
M115,183896,9790347,4-Apr-09,2:40,39907.11161
M115,183565,9790911,4-Apr-09,3:01,39907.12598
M115,182581,9790271,4-Apr-09,3:20,39907.13921
M115,181999,9789840,4-Apr-09,3:40,39907.15316
M115,181653,9789176,4-Apr-09,4:00,39907.167
M115,180896,9789137,4-Apr-09,4:20,39907.18084
M115,180675,9788993,4-Apr-09,4:40,39907.19483
M115,180034,9789580,4-Apr-09,5:00,39907.20897
M115,179504,9790514,4-Apr-09,5:20,39907.2225
M115,180685,9790812,4-Apr-09,5:40,39907.23635
M115,181605,9790675,4-Apr-09,6:00,39907.25021
M115,182755,9790176,4-Apr-09,6:20,39907.26433
M115,184274,9789922,4-Apr-09,6:40,39907.27804
M115,185284,9791267,4-Apr-09,7:00,39907.29223
M115,185342,9791467,4-Apr-09,7:41,39907.32043
M115,185354,9791466,4-Apr-09,8:00,39907.33351
M115,185362,9791465,4-Apr-09,8:20,39907.34786
M115,185363,9791459,4-Apr-09,8:41,39907.3624
M115,185379,9791432,4-Apr-09,9:01,39907.37594
M115,185375,9791455,4-Apr-09,9:20,39907.38953
