SubjectID,UTMEasting,UTMNorthing,ObservationDate,ObservationTime,ObsTimeDate
M115,182600,9789681,1-May-09,0:00,39934.0003
M115,182335,9789548,1-May-09,0:20,39934.01425
M115,182350,9789546,1-May-09,0:40,39934.02809
M115,182347,9789547,1-May-09,1:00,39934.04199
M115,182349,9789544,1-May-09,1:20,39934.05587
M115,182346,9789544,1-May-09,1:40,39934.06976
M115,182346,9789545,1-May-09,2:00,39934.08365
M115,182347,9789547,1-May-09,2:20,39934.09764
M115,182317,9789485,1-May-09,2:40,39934.11168
M115,182629,9789904,1-May-09,3:01,39934.12584
M115,183193,9790835,1-May-09,3:20,39934.13916
M115,184172,9790780,1-May-09,3:40,39934.15307
M115,184139,9791505,1-May-09,4:00,39934.16726
M115,184155,9791424,1-May-09,4:20,39934.18094
M115,183995,9790920,1-May-09,4:40,39934.19476
M115,184096,9789703,1-May-09,5:00,39934.2086
M115,183337,9788719,1-May-09,5:20,39934.22288
M115,183232,9789350,1-May-09,5:40,39934.23646
M115,184066,9790702,1-May-09,6:00,39934.25046
M115,185134,9792192,1-May-09,6:20,39934.26419
M115,185511,9792658,1-May-09,6:40,39934.27826
M115,185275,9791349,1-May-09,18:41,39934.77902
M115,185085,9790219,1-May-09,19:00,39934.79216
M115,183928,9789300,1-May-09,19:20,39934.80619
M115,183141,9789401,1-May-09,19:40,39934.82001
M115,182094,9789926,1-May-09,20:00,39934.83353
M115,182572,9790586,1-May-09,20:20,39934.84749
M115,181907,9790735,1-May-09,20:40,39934.86126
M115,180946,9791366,1-May-09,21:00,39934.87559
M115,180298,9792416,1-May-09,21:20,39934.88907
M115,179983,9791485,1-May-09,21:40,39934.90307
M115,180148,9790283,1-May-09,22:00,39934.91716
M115,180980,9789938,1-May-09,22:20,39934.93089
M115,181281,9789552,1-May-09,22:40,39934.94508
M115,180444,9788847,1-May-09,23:00,39934.95897
M115,179460,9788218,1-May-09,23:20,39934.97256
M115,180575,9788190,1-May-09,23:40,39934.98659
M115,181852,9788424,2-May-09,0:00,39935.00015
M115,183260,9788633,2-May-09,0:20,39935.01414
M115,184436,9788069,2-May-09,0:40,39935.02802
M115,184393,9786605,2-May-09,1:00,39935.04226
M115,184833,9785588,2-May-09,1:20,39935.05573
M115,184724,9785017,2-May-09,1:40,39935.06972
M115,184896,9784807,2-May-09,2:00,39935.08363
M115,185259,9785862,2-May-09,2:20,39935.09759
M115,185971,9787103,2-May-09,2:40,39935.11171
M115,185757,9788340,2-May-09,3:00,39935.12531
M115,184989,9789679,2-May-09,3:20,39935.1392
M115,184053,9789692,2-May-09,3:40,39935.15339
M115,183645,9790150,2-May-09,4:00,39935.16683
M115,183741,9790753,2-May-09,4:20,39935.18118
M115,182474,9789592,2-May-09,4:40,39935.19461
M115,181506,9790121,2-May-09,5:00,39935.20883
M115,182105,9790870,2-May-09,5:20,39935.22256
M115,184222,9791136,2-May-09,5:40,39935.23675
M115,184147,9789961,2-May-09,6:00,39935.25032
M115,182700,9789409,2-May-09,6:41,39935.27898
M115,185234,9790606,2-May-09,7:00,39935.29188
M115,185417,9791799,2-May-09,7:21,39935.30628
M115,185446,9792333,2-May-09,11:21,39935.47314
M115,185285,9792249,2-May-09,18:40,39935.77836
M115,184820,9791245,2-May-09,19:00,39935.79182
M115,184193,9790870,2-May-09,19:20,39935.8059
M115,183185,9791529,2-May-09,19:40,39935.81978
M115,181981,9791794,2-May-09,20:00,39935.83395
M115,181911,9790567,2-May-09,20:20,39935.84791
M115,182436,9789575,2-May-09,20:40,39935.86168
M115,182441,9789576,2-May-09,21:00,39935.8752
M115,182446,9789582,2-May-09,21:20,39935.88947
M115,182674,9789290,2-May-09,21:40,39935.90329
M115,183186,9788423,2-May-09,22:00,39935.91716
M115,183640,9787271,2-May-09,22:20,39935.93074
M115,184506,9786070,2-May-09,22:40,39935.94475
M115,184984,9785868,2-May-09,23:00,39935.95846
M115,184667,9785462,2-May-09,23:20,39935.97247
M115,185215,9784599,2-May-09,23:40,39935.98642
M115,185131,9784190,3-May-09,0:00,39936.00034
M115,184227,9784876,3-May-09,0:20,39936.01422
M115,182974,9785286,3-May-09,0:40,39936.02811
M115,181869,9785740,3-May-09,1:00,39936.0423
M115,180929,9787349,3-May-09,1:20,39936.05589
M115,180692,9788468,3-May-09,1:40,39936.06978
M115,180812,9789345,3-May-09,2:00,39936.08363
M115,180770,9790013,3-May-09,2:20,39936.09786
M115,180768,9790011,3-May-09,2:40,39936.11139
M115,180771,9790013,3-May-09,3:00,39936.12521
M115,181572,9790616,3-May-09,3:20,39936.13911
M115,182606,9790909,3-May-09,3:40,39936.15297
M115,182512,9789833,3-May-09,4:00,39936.1669
M115,182703,9789193,3-May-09,4:20,39936.18081
M115,183553,9789778,3-May-09,4:40,39936.19509
M115,183732,9790008,3-May-09,5:01,39936.20966
M115,184124,9789399,3-May-09,5:20,39936.22286
M115,183968,9789314,3-May-09,5:40,39936.23638
M115,183630,9789910,3-May-09,6:00,39936.25028
M115,184406,9790181,3-May-09,6:20,39936.26416
M115,185303,9791391,3-May-09,6:40,39936.27841
M115,185361,9792397,3-May-09,7:00,39936.29219
M115,185497,9792402,3-May-09,8:01,39936.33413
M115,185403,9791791,3-May-09,17:00,39936.70898
M115,185314,9791700,3-May-09,18:20,39936.76453
M115,185258,9790556,3-May-09,18:40,39936.77809
M115,184791,9789524,3-May-09,19:00,39936.79211
M115,183952,9789344,3-May-09,19:20,39936.80616
M115,183676,9789963,3-May-09,19:40,39936.82005
M115,182718,9790044,3-May-09,20:00,39936.83356
M115,182353,9789546,3-May-09,20:20,39936.84786
M115,182352,9789551,3-May-09,20:40,39936.86134
M115,182354,9789549,3-May-09,21:00,39936.87564
M115,182355,9789549,3-May-09,21:20,39936.8891
M115,182785,9789358,3-May-09,21:40,39936.90308
M115,183734,9789070,3-May-09,22:00,39936.91698
M115,184554,9788265,3-May-09,22:20,39936.93087
M115,184993,9787189,3-May-09,22:40,39936.94458
M115,186019,9787101,3-May-09,23:00,39936.95891
M115,185939,9787826,3-May-09,23:20,39936.9724
M115,185576,9788930,3-May-09,23:40,39936.98638
M115,185222,9789898,4-May-09,0:00,39937.0003
M115,184403,9790836,4-May-09,0:20,39937.0142
M115,183698,9790531,4-May-09,0:40,39937.02809
M115,183781,9789768,4-May-09,1:00,39937.04198
M115,183872,9789356,4-May-09,1:20,39937.05587
M115,182971,9789842,4-May-09,1:40,39937.06977
M115,182104,9789560,4-May-09,2:00,39937.08374
