SubjectID, UTMEasting, UTMNorthing, ObservationDate, ObservationTime, ObsTimeDate, TheoreticDayTime, ObsDay, ObsWeek, ObsNum
M115, 185152, 9790079, 17-Jan-09, 3:01, 39830.12598, 7.01423, 7, 1, 328
M115, 184859, 9790528, 17-Jan-09, 3:20, 39830.13946, 7.02771, 7, 1, 329
M115, 184731, 9790635, 17-Jan-09, 3:40, 39830.15304, 7.04129, 7, 1, 330
M115, 184341, 9790605, 17-Jan-09, 4:00, 39830.16723, 7.05548, 7, 1, 331
M115, 183167, 9790938, 17-Jan-09, 4:20, 39830.1808, 7.06905, 7, 1, 332
M115, 183816, 9790220, 17-Jan-09, 4:40, 39830.19465, 7.0829, 7, 1, 333
M115, 183758, 9789920, 17-Jan-09, 5:00, 39830.20856, 7.09681, 7, 1, 334
M115, 183604, 9789774, 17-Jan-09, 5:20, 39830.22271, 7.11096, 7, 1, 335
M115, 183372, 9789058, 17-Jan-09, 5:40, 39830.23638, 7.12463, 7, 1, 336
M115, 183274, 9788592, 17-Jan-09, 6:00, 39830.25024, 7.13849, 7, 1, 337
M115, 183261, 9788638, 17-Jan-09, 6:20, 39830.26446, 7.15271, 7, 1, 338
M115, 183258, 9788632, 17-Jan-09, 6:40, 39830.27828, 7.16653, 7, 1, 339
M115, 183255, 9788634, 17-Jan-09, 7:01, 39830.29271, 7.18096, 7, 1, 340
M115, 183257, 9788634, 17-Jan-09, 7:20, 39830.30568, 7.19393, 7, 1, 341
M115, 183259, 9788636, 17-Jan-09, 7:40, 39830.31964, 7.20789, 7, 1, 342
M115, 183255, 9788634, 17-Jan-09, 8:00, 39830.33383, 7.22208, 7, 1, 343
M115, 183028, 9788747, 17-Jan-09, 8:20, 39830.34756, 7.23581, 7, 1, 344
M115, 183029, 9788747, 17-Jan-09, 8:40, 39830.36142, 7.24967, 7, 1, 345
M115, 183029, 9788747, 17-Jan-09, 9:00, 39830.3753, 7.26355, 7, 1, 346
M115, 183036, 9788748, 17-Jan-09, 9:20, 39830.38921, 7.27746, 7, 1, 347
M115, 183030, 9788742, 17-Jan-09, 9:40, 39830.40328, 7.29153, 7, 1, 348
M115, 183031, 9788746, 17-Jan-09, 10:00, 39830.41694, 7.30519, 7, 1, 349
M115, 183037, 9788750, 17-Jan-09, 10:20, 39830.43086, 7.31911, 7, 1, 350
M115, 183021, 9788752, 17-Jan-09, 10:40, 39830.44501, 7.33326, 7, 1, 351
M115, 183018, 9788756, 17-Jan-09, 11:00, 39830.4589, 7.34715, 7, 1, 352
M115, 183026, 9788747, 17-Jan-09, 11:20, 39830.47253, 7.36078, 7, 1, 353
M115, 183029, 9788747, 17-Jan-09, 11:40, 39830.48631, 7.37456, 7, 1, 354
M115, 183028, 9788746, 17-Jan-09, 12:00, 39830.50064, 7.38889, 7, 1, 355
M115, 183019, 9788749, 17-Jan-09, 12:20, 39830.51446, 7.40271, 7, 1, 356
M115, 183029, 9788744, 17-Jan-09, 12:40, 39830.52809, 7.41634, 7, 1, 357
M115, 183031, 9788746, 17-Jan-09, 13:00, 39830.54226, 7.43051, 7, 1, 358
M115, 183032, 9788746, 17-Jan-09, 13:20, 39830.55572, 7.44397, 7, 1, 359
