SubjectID,UTMEasting,UTMNorthing,ObservationDate,ObservationTime,ObsTimeDate
M115,184594,9784911,10-Jan-09,2:40,39823.11175
M115,184649,9785080,10-Jan-09,3:00,39823.12521
M115,184617,9785399,10-Jan-09,3:20,39823.13916
M115,184437,9786304,10-Jan-09,3:40,39823.15328
M115,184243,9787327,10-Jan-09,4:00,39823.16699
M115,183970,9788391,10-Jan-09,4:20,39823.18082
M115,183745,9789084,10-Jan-09,5:00,39823.2089
M115,183744,9789083,10-Jan-09,5:20,39823.22252
M115,183743,9789083,10-Jan-09,5:40,39823.23632
M115,183743,9789079,10-Jan-09,6:00,39823.25017
M115,183746,9789079,10-Jan-09,6:20,39823.26405
M115,183742,9789084,10-Jan-09,6:40,39823.27794
M115,183825,9789300,10-Jan-09,19:40,39823.82009
M115,183833,9789828,10-Jan-09,20:00,39823.83356
M115,183810,9790218,10-Jan-09,20:20,39823.84745
M115,183509,9791669,10-Jan-09,20:40,39823.86134
M115,182886,9792676,10-Jan-09,21:00,39823.87515
M115,182966,9793453,10-Jan-09,21:20,39823.8892
M115,182527,9793611,10-Jan-09,21:40,39823.90299
M115,182119,9793558,10-Jan-09,22:00,39823.91697
M115,182064,9792698,10-Jan-09,22:20,39823.9309
M115,182295,9791623,10-Jan-09,22:40,39823.94476
M115,182622,9790679,10-Jan-09,23:00,39823.9589
M115,183401,9789884,10-Jan-09,23:20,39823.97243
M115,184043,9789900,10-Jan-09,23:40,39823.98644
M115,184594,9784911,10-Jan-09,2:40,39823.11175
M115,184649,9785080,10-Jan-09,3:00,39823.12521
M115,184617,9785399,10-Jan-09,3:20,39823.13916
M115,184437,9786304,10-Jan-09,3:40,39823.15328
M115,184243,9787327,10-Jan-09,4:00,39823.16699
M115,183970,9788391,10-Jan-09,4:20,39823.18082
M115,183745,9789084,10-Jan-09,5:00,39823.2089
M115,183744,9789083,10-Jan-09,5:20,39823.22252
M115,183743,9789083,10-Jan-09,5:40,39823.23632
M115,183743,9789079,10-Jan-09,6:00,39823.25017
M115,183746,9789079,10-Jan-09,6:20,39823.26405
M115,183742,9789084,10-Jan-09,6:40,39823.27794
M115,183825,9789300,10-Jan-09,19:40,39823.82009
M115,183833,9789828,10-Jan-09,20:00,39823.83356
M115,183810,9790218,10-Jan-09,20:20,39823.84745
M115,183509,9791669,10-Jan-09,20:40,39823.86134
M115,182886,9792676,10-Jan-09,21:00,39823.87515
M115,182966,9793453,10-Jan-09,21:20,39823.8892
M115,182527,9793611,10-Jan-09,21:40,39823.90299
M115,182119,9793558,10-Jan-09,22:00,39823.91697
M115,182064,9792698,10-Jan-09,22:20,39823.9309
M115,182295,9791623,10-Jan-09,22:40,39823.94476
M115,182622,9790679,10-Jan-09,23:00,39823.9589
M115,183401,9789884,10-Jan-09,23:20,39823.97243
M115,184043,9789900,10-Jan-09,23:40,39823.98644
M115,184457,9789551,11-Jan-09,0:00,39824.00016
M115,184608,9788884,11-Jan-09,0:20,39824.01412
M115,185109,9789239,11-Jan-09,0:40,39824.02834
M115,185177,9789486,11-Jan-09,1:00,39824.04182
M115,185182,9789469,11-Jan-09,1:20,39824.05605
M115,185181,9789483,11-Jan-09,1:40,39824.06975
M115,185180,9789483,11-Jan-09,2:00,39824.08351
M115,185147,9789547,11-Jan-09,2:20,39824.09756
M115,185134,9789907,11-Jan-09,2:40,39824.11144
M115,184711,9790406,11-Jan-09,3:01,39824.12598
M115,184218,9791029,11-Jan-09,3:20,39824.13922
M115,184296,9791457,11-Jan-09,3:40,39824.15304
M115,183603,9792284,11-Jan-09,4:00,39824.1669
M115,183471,9792081,11-Jan-09,4:20,39824.18078
M115,184457,9789551,11-Jan-09,0:00,39824.00016
M115,184608,9788884,11-Jan-09,0:20,39824.01412
M115,185109,9789239,11-Jan-09,0:40,39824.02834
M115,185177,9789486,11-Jan-09,1:00,39824.04182
M115,185182,9789469,11-Jan-09,1:20,39824.05605
M115,185181,9789483,11-Jan-09,1:40,39824.06975
M115,185180,9789483,11-Jan-09,2:00,39824.08351
M115,185147,9789547,11-Jan-09,2:20,39824.09756
M115,185134,9789907,11-Jan-09,2:40,39824.11144
M115,184711,9790406,11-Jan-09,3:01,39824.12598
M115,184218,9791029,11-Jan-09,3:20,39824.13922
M115,184296,9791457,11-Jan-09,3:40,39824.15304
M115,183603,9792284,11-Jan-09,4:00,39824.1669
M115,183471,9792081,11-Jan-09,4:20,39824.18078
M115,182584,9791835,11-Jan-09,4:40,39824.19464
M115,181816,9791867,11-Jan-09,5:00,39824.20853
M115,181068,9791770,11-Jan-09,5:20,39824.22242
M115,181094,9792014,11-Jan-09,5:40,39824.23633
M115,181310,9791132,11-Jan-09,6:00,39824.2502
M115,182084,9790363,11-Jan-09,6:20,39824.26413
M115,181699,9791313,11-Jan-09,6:40,39824.27799
M115,181552,9790988,11-Jan-09,7:20,39824.30584
M115,182227,9789864,11-Jan-09,7:40,39824.31964
M115,183507,9789082,11-Jan-09,8:00,39824.33355
M115,183741,9789080,11-Jan-09,18:40,39824.77836
M115,183771,9789062,11-Jan-09,19:00,39824.79205
M115,183769,9789057,11-Jan-09,19:20,39824.80605
M115,183777,9789060,11-Jan-09,19:40,39824.81964
M115,183654,9789049,11-Jan-09,20:00,39824.83354
M115,183433,9789310,11-Jan-09,20:20,39824.84738
M115,183429,9789311,11-Jan-09,20:40,39824.86128
M115,183390,9789354,11-Jan-09,21:00,39824.87564
M115,183379,9789349,11-Jan-09,21:20,39824.88917
M115,183389,9789353,11-Jan-09,21:40,39824.90299
M115,183388,9789353,11-Jan-09,22:00,39824.91689
M115,183390,9789348,11-Jan-09,22:20,39824.93105
M115,183604,9789826,11-Jan-09,22:40,39824.94485
M115,183916,9789550,11-Jan-09,23:00,39824.9585
M115,184351,9788832,11-Jan-09,23:20,39824.9725
M115,184793,9788407,11-Jan-09,23:40,39824.98655
M115,184977,9788141,12-Jan-09,0:00,39825.00031
M115,185625,9788031,12-Jan-09,0:20,39825.01402
M115,185760,9787152,12-Jan-09,0:40,39825.02797
M115,185508,9786271,12-Jan-09,1:00,39825.04194
M115,185551,9785460,12-Jan-09,1:20,39825.05611
M115,184759,9784777,12-Jan-09,1:40,39825.06994
M115,184297,9785060,12-Jan-09,2:00,39825.08351
M115,182985,9785891,12-Jan-09,2:20,39825.0975
M115,182396,9785991,12-Jan-09,2:40,39825.11124
M115,181469,9785907,12-Jan-09,3:00,39825.12523
M115,180714,9785950,12-Jan-09,3:20,39825.13913
M115,180761,9786476,12-Jan-09,3:40,39825.15309
M115,181217,9787218,12-Jan-09,4:00,39825.16723
M115,181621,9788079,12-Jan-09,4:20,39825.18082
M115,181792,9789029,12-Jan-09,4:40,39825.19469
M115,181731,9789268,12-Jan-09,5:00,39825.20855
M115,183030,9789339,12-Jan-09,5:20,39825.22245
M115,183738,9789114,12-Jan-09,5:40,39825.23631
M115,183754,9789090,12-Jan-09,6:00,39825.25019
M115,183736,9789083,12-Jan-09,6:20,39825.26434
M115,183742,9789084,12-Jan-09,6:40,39825.27832
M115,183744,9789082,12-Jan-09,7:00,39825.29193
M115,182804,9789177,12-Jan-09,7:20,39825.30574
M115,183748,9789074,12-Jan-09,7:40,39825.31956
M115,183718,9789101,12-Jan-09,8:00,39825.33361
M115,183769,9789060,12-Jan-09,19:00,39825.79216
M115,183770,9789060,12-Jan-09,19:20,39825.80587
M115,183771,9789058,12-Jan-09,19:40,39825.81972
M115,183766,9789325,12-Jan-09,20:00,39825.83397
M115,183766,9789327,12-Jan-09,20:20,39825.84756
M115,183771,9789330,12-Jan-09,20:40,39825.8614
M115,183769,9789320,12-Jan-09,21:00,39825.87513
M115,183767,9789319,12-Jan-09,21:20,39825.88921
M115,183767,9789320,12-Jan-09,21:40,39825.903
M115,183769,9789319,12-Jan-09,22:00,39825.91698
M115,183653,9790138,12-Jan-09,22:20,39825.93088
M115,184236,9790724,12-Jan-09,22:40,39825.94458
M115,185028,9790300,12-Jan-09,23:00,39825.95897
M115,184954,9790117,12-Jan-09,23:20,39825.97279
M115,185147,9789854,12-Jan-09,23:40,39825.98632
M115,185181,9789475,13-Jan-09,0:00,39826.00031
M115,185181,9789475,13-Jan-09,0:20,39826.01404
M115,185173,9789480,13-Jan-09,0:40,39826.02808
M115,185139,9789321,13-Jan-09,1:00,39826.04193
M115,184968,9789273,13-Jan-09,1:20,39826.0559
M115,184578,9790232,13-Jan-09,1:40,39826.06979
M115,184104,9791330,13-Jan-09,2:00,39826.08366
M115,183200,9791913,13-Jan-09,2:20,39826.09736
M115,182262,9791766,13-Jan-09,2:40,39826.11137
M115,181374,9791885,13-Jan-09,3:00,39826.12564
M115,181043,9792129,13-Jan-09,3:20,39826.13926
M115,181532,9792009,13-Jan-09,3:40,39826.15309
M115,181881,9790732,13-Jan-09,4:00,39826.16694
M115,181094,9789988,13-Jan-09,4:20,39826.18083
M115,181594,9789085,13-Jan-09,4:40,39826.19472
M115,182264,9788979,13-Jan-09,5:00,39826.20854
M115,182939,9789152,13-Jan-09,5:20,39826.22244
M115,182974,9789276,13-Jan-09,5:40,39826.23662
M115,183734,9789085,13-Jan-09,6:00,39826.25023
M115,183735,9789072,13-Jan-09,6:20,39826.2641
M115,183741,9789061,13-Jan-09,6:40,39826.27797
M115,183739,9789062,13-Jan-09,7:00,39826.29188
M115,183744,9789062,13-Jan-09,7:20,39826.30574
M115,183744,9789080,13-Jan-09,7:40,39826.31965
M115,183748,9789079,13-Jan-09,8:00,39826.33352
M115,183744,9789077,13-Jan-09,8:20,39826.34748
M115,183745,9789078,13-Jan-09,8:40,39826.36132
M115,182880,9788937,13-Jan-09,9:01,39826.37584
M115,182258,9789714,13-Jan-09,9:20,39826.3892
M115,182258,9789716,13-Jan-09,9:40,39826.403
M115,182251,9789716,13-Jan-09,10:00,39826.41703
M115,182258,9789716,13-Jan-09,12:40,39826.52834
M115,182042,9789601,13-Jan-09,13:40,39826.56994
M115,182042,9789601,13-Jan-09,14:00,39826.58399
M115,182042,9789598,13-Jan-09,14:20,39826.5974
M115,182036,9789601,13-Jan-09,14:40,39826.61127
M115,182045,9789602,13-Jan-09,15:00,39826.6256
M115,182044,9789596,13-Jan-09,15:20,39826.63911
M115,182051,9789588,13-Jan-09,15:40,39826.65341
M115,182042,9789605,13-Jan-09,16:01,39826.66795
M115,182045,9789602,13-Jan-09,16:20,39826.68083
M115,182036,9789600,13-Jan-09,16:41,39826.69519
M115,182051,9789612,13-Jan-09,17:01,39826.70918
M115,182041,9789607,13-Jan-09,17:20,39826.72284
M115,182048,9789604,13-Jan-09,17:41,39826.73696
M115,182046,9789614,13-Jan-09,18:00,39826.75057
M115,182039,9789603,13-Jan-09,18:20,39826.76455
M115,182053,9789571,13-Jan-09,18:40,39826.77803
M115,181883,9790183,13-Jan-09,19:00,39826.79193
M115,181885,9790184,13-Jan-09,19:20,39826.80582
M115,181881,9790182,13-Jan-09,19:40,39826.81965
M115,181777,9790209,13-Jan-09,20:00,39826.8335
M115,181073,9790288,13-Jan-09,20:20,39826.84755
M115,180305,9790530,13-Jan-09,20:40,39826.86139
M115,179379,9790659,13-Jan-09,21:01,39826.87591
M115,178869,9790562,13-Jan-09,21:20,39826.88911
M115,179226,9790721,13-Jan-09,21:40,39826.90292
M115,180208,9789911,13-Jan-09,22:00,39826.91696
M115,181342,9789550,13-Jan-09,22:20,39826.93072
M115,182037,9789336,13-Jan-09,22:40,39826.94473
M115,182939,9789147,13-Jan-09,23:00,39826.9585
M115,182982,9789177,13-Jan-09,23:20,39826.97251
M115,183412,9789691,13-Jan-09,23:40,39826.98644
M115,184202,9790043,14-Jan-09,0:00,39827.00035
M115,185087,9789735,14-Jan-09,0:20,39827.01424
M115,185298,9788706,14-Jan-09,0:40,39827.0281
M115,185878,9788055,14-Jan-09,1:01,39827.04251
M115,185827,9787041,14-Jan-09,1:20,39827.05578
M115,185460,9786187,14-Jan-09,1:40,39827.06972
M115,184642,9786138,14-Jan-09,2:00,39827.08363
M115,184633,9787339,14-Jan-09,2:20,39827.09757
M115,184897,9788120,14-Jan-09,2:40,39827.11167
M115,184609,9788883,14-Jan-09,3:00,39827.12514
M115,184045,9788828,14-Jan-09,3:20,39827.13914
M115,183301,9788457,14-Jan-09,3:40,39827.15304
M115,183747,9789078,14-Jan-09,4:00,39827.1669
M115,183753,9789125,14-Jan-09,4:20,39827.18079
M115,183756,9789126,14-Jan-09,4:40,39827.19466
M115,183768,9789075,14-Jan-09,5:00,39827.2089
M115,183746,9789064,14-Jan-09,5:20,39827.22248
M115,183741,9789061,14-Jan-09,5:40,39827.23668
M115,183741,9789063,14-Jan-09,6:00,39827.25025
M115,183742,9789061,14-Jan-09,6:20,39827.26413
M115,183737,9789062,14-Jan-09,6:40,39827.27804
M115,183743,9789081,14-Jan-09,7:00,39827.29191
M115,183740,9789081,14-Jan-09,7:20,39827.30576
M115,183771,9789058,14-Jan-09,19:01,39827.79252
M115,183769,9789058,14-Jan-09,19:20,39827.80576
