SubjectID,UTMEasting,UTMNorthing,ObservationDate,ObservationTime,ObsTimeDate
F101,173365,9785347,1-Apr-07,18:01,39173.75069
F101,173365,9785347,1-Apr-07,18:51,39173.78542
F101,173057,9784637,1-Apr-07,19:08,39173.79722
F101,172379,9784456,6-Apr-07,16:40,39178.69444
F102,171555,9782702,6-Apr-07,16:57,39178.70625
M103,173450,9781796,6-Apr-07,17:22,39178.72361
F104,177015,9788920,7-Apr-07,18:30,39179.77083
F105,177006,9785053,7-Apr-07,14:14,39179.59306
F101,172136,9785200,17-Apr-07,13:00,39189.54167
F102,171982,9780527,17-Apr-07,13:49,39189.57569
F104,177047,9788912,21-Apr-07,12:00,39193.5
F105,177247,9786880,21-Apr-07,11:27,39193.47708
M103,173120,9783078,21-Apr-07,12:46,39193.53194
F101,171863,9783910,23-Apr-07,11:11,39195.46597
F101,172083,9783684,23-Apr-07,11:11,39195.46597
F102,171785,9782026,23-Apr-07,11:11,39195.46597
F101,172305,9784878,24-Apr-07,18:48,39196.78333
F105,177092,9783716,25-Apr-07,17:45,39197.72917
F105,176152,9784403,25-Apr-07,18:05,39197.75347
F105,176152,9784403,25-Apr-07,18:25,39197.76736
F105,176152,9784403,25-Apr-07,18:35,39197.77431
F105,176152,9784403,25-Apr-07,18:15,39197.76042
F105,176152,9784403,25-Apr-07,18:45,39197.78125
F105,176152,9784403,25-Apr-07,18:55,39197.78819
F105,176152,9784403,25-Apr-07,19:05,39197.79514
F105,176152,9784403,25-Apr-07,19:15,39197.80208
F105,176152,9784403,25-Apr-07,19:25,39197.80903
F105,176152,9784403,25-Apr-07,19:35,39197.81597
F105,176152,9784403,25-Apr-07,19:42,39197.82083
M103,174556,9779459,26-Apr-07,21:38,39198.90139
F101,174739,9785206,27-Apr-07,19:25,39199.80903
M103,172605,9779682,27-Apr-07,20:03,39199.83542
M103,172975,9779509,27-Apr-07,20:15,39199.84375
M103,173134,9779441,27-Apr-07,20:36,39199.85833
F101,171984,9784738,28-Apr-07,18:00,39200.75
F101,171984,9784738,28-Apr-07,18:10,39200.75694
F101,171984,9784738,28-Apr-07,18:20,39200.76389
F101,171984,9784738,28-Apr-07,18:30,39200.77083
F101,171984,9784738,28-Apr-07,18:40,39200.77778
F101,171494,9783313,28-Apr-07,19:55,39200.82986
F101,171494,9783313,28-Apr-07,20:00,39200.83333
F101,171494,9783313,28-Apr-07,20:10,39200.84028
F101,171494,9783313,28-Apr-07,20:20,39200.84722
F101,171494,9783313,28-Apr-07,20:23,39200.84931
F101,171494,9783313,28-Apr-07,21:00,39200.875
F101,171494,9783313,28-Apr-07,20:30,39200.85417
F101,171494,9783313,28-Apr-07,20:40,39200.86111
F101,171494,9783313,28-Apr-07,20:50,39200.86806
F102,171494,9783313,28-Apr-07,20:23,39200.84931
F102,171494,9783313,28-Apr-07,20:30,39200.85417
F102,171494,9783313,28-Apr-07,20:40,39200.86111
F102,171494,9783313,28-Apr-07,20:50,39200.86806
M103,171494,9783313,28-Apr-07,20:23,39200.84931
M103,171494,9783313,28-Apr-07,20:30,39200.85417
M103,171494,9783313,28-Apr-07,20:40,39200.86111
M103,171494,9783313,28-Apr-07,20:50,39200.86806
F102,171431,9782500,29-Apr-07,18:25,39201.76736
F102,171431,9782500,29-Apr-07,18:35,39201.77431
F102,171431,9782500,29-Apr-07,18:45,39201.78125
F102,171431,9782500,29-Apr-07,18:55,39201.78819
F102,171431,9782500,29-Apr-07,19:05,39201.79514
F102,171431,9782500,29-Apr-07,19:15,39201.80208
F102,171431,9782500,29-Apr-07,19:17,39201.80347
M103,171433,9781943,29-Apr-07,18:25,39201.76736
M103,171433,9781943,29-Apr-07,18:35,39201.77431
M103,171433,9781943,29-Apr-07,18:45,39201.78125
M103,171433,9781943,29-Apr-07,18:55,39201.78819
M103,171433,9781943,29-Apr-07,19:05,39201.79514
M103,171433,9781943,29-Apr-07,19:15,39201.80208
M103,171433,9781943,29-Apr-07,19:25,39201.80903
M103,171431,9782439,29-Apr-07,20:15,39201.84375
M103,171571,9781988,29-Apr-07,20:35,39201.85764
M103,171571,9781988,29-Apr-07,20:45,39201.86458
M103,171571,9781988,29-Apr-07,20:55,39201.87153
M103,171571,9781988,29-Apr-07,21:01,39201.87569
F104,177057,9788920,30-Apr-07,18:30,39202.77083
F104,177240,9789162,30-Apr-07,18:20,39202.76389
