SubjectID,UTMEasting,UTMNorthing,ObservationDate,ObservationTime,ObsTimeDate
F101,172111,9785071,21-Feb-07,17:26,39134.72639
F101,172111,9785071,21-Feb-07,17:26,39134.72639
F102,173968,9783064,21-Feb-07,16:39,39134.69375
F102,172184,9780323,22-Feb-07,18:26,39135.76806
M103,173872,9782839,22-Feb-07,17:30,39135.72917
F102,171327,9780815,23-Feb-07,17:54,39136.74583
F101,171735,9785335,25-Feb-07,17:09,39138.71458
F102,173061,9785168,25-Feb-07,17:48,39138.74167
F104,177935,9785989,25-Feb-07,13:25,39138.55903
M103,172521,9785620,25-Feb-07,18:00,39138.75
F102,173362,9782991,5-Mar-07,14:00,39146.58333
F104,177878,9785925,5-Mar-07,18:16,39146.76111
F105,178115,9786216,5-Mar-07,18:00,39146.75
F101,173394,9785415,7-Mar-07,12:23,39148.51597
F102,171399,9782184,7-Mar-07,13:18,39148.55417
F104,177535,9785831,7-Mar-07,19:20,39148.80556
F101,173394,9785415,8-Mar-07,16:45,39149.69792
F102,172371,9781271,8-Mar-07,18:49,39149.78403
F102,174098,9782376,8-Mar-07,20:32,39149.85556
F102,174236,9782621,8-Mar-07,20:58,39149.87361
F105,178115,9786216,8-Mar-07,16:20,39149.68056
M103,172408,9783863,8-Mar-07,18:15,39149.76042
F101,173992,9785140,13-Mar-07,19:05,39154.79514
F102,172303,9783887,13-Mar-07,18:32,39154.77222
F104,177734,9786120,13-Mar-07,17:06,39154.7125
F105,177621,9784754,13-Mar-07,17:24,39154.725
M103,172429,9783858,13-Mar-07,18:43,39154.77986
F101,173440,9785409,16-Mar-07,18:15,39157.76042
F102,171489,9782530,16-Mar-07,17:34,39157.73194
F104,177253,9785978,16-Mar-07,18:46,39157.78194
F105,177312,9785710,16-Mar-07,16:34,39157.69028
F105,178115,9786216,17-Mar-07,16:34,39158.69028
M103,172387,9783904,17-Mar-07,17:11,39158.71597
F101,172988,9784578,19-Mar-07,17:36,39160.73333
F104,177949,9785920,19-Mar-07,16:33,39160.68958
F105,177570,9784819,19-Mar-07,16:57,39160.70625
F102,171518,9782309,20-Mar-07,17:48,39161.74167
M103,172148,9783236,20-Mar-07,17:59,39161.74931
F101,173055,9784543,28-Mar-07,11:55,39169.49653
F102,171356,9782648,28-Mar-07,11:39,39169.48542
F104,177173,9785177,28-Mar-07,10:30,39169.4375
F105,178569,9784564,28-Mar-07,10:56,39169.45556
M103,171413,9782554,28-Mar-07,11:39,39169.48542
F101,173013,9784544,30-Mar-07,11:52,39171.49444
F101,173013,9784544,30-Mar-07,17:27,39171.72708
F101,173102,9784134,30-Mar-07,17:47,39171.74097
F101,173102,9784134,30-Mar-07,18:42,39171.77917
F102,172553,9779399,30-Mar-07,11:32,39171.48056
F105,178257,9783923,30-Mar-07,10:22,39171.43194
M103,173475,9781750,30-Mar-07,10:55,39171.45486
F101,173467,9785133,31-Mar-07,18:03,39172.75208
F101,173467,9785133,31-Mar-07,18:46,39172.78194
