SubjectID,UTMEasting,UTMNorthing,ObservationDate,ObservationTime,ObsTimeDate
F108,172093,9783459,26-Jan-08,19:55,39473.82986
F108,172174,9783205,26-Jan-08,20:00,39473.83333
F108,172129,9782602,26-Jan-08,20:10,39473.84028
F108,171846,9782140,26-Jan-08,20:20,39473.84722
F108,171712,9781760,26-Jan-08,20:30,39473.85417
F108,171326,9781359,26-Jan-08,20:40,39473.86111
F108,171237,9780930,26-Jan-08,20:50,39473.86806
F108,171247,9780475,26-Jan-08,21:00,39473.875
F108,170990,9780010,26-Jan-08,21:09,39473.88125
F108,170990,9780010,26-Jan-08,21:10,39473.88194
F108,171124,9779512,26-Jan-08,21:20,39473.88889
F108,171183,9778973,26-Jan-08,21:30,39473.89583
F108,171241,9778590,26-Jan-08,21:40,39473.90278
F108,171576,9778088,26-Jan-08,21:50,39473.90972
F108,171966,9777647,26-Jan-08,22:00,39473.91667
F108,172319,9777169,26-Jan-08,22:10,39473.92361
F108,172420,9776917,26-Jan-08,22:15,39473.92708
F108,172433,9776872,26-Jan-08,22:15,39473.92708
F108,172433,9776872,26-Jan-08,22:15,39473.92708
F108,172425,9776825,26-Jan-08,22:18,39473.92917
F104,176131,9785667,27-Jan-08,20:00,39474.83333
F104,175685,9785458,27-Jan-08,20:08,39474.83889
F104,175700,9785501,27-Jan-08,20:10,39474.84028
F104,175684,9785568,27-Jan-08,20:10,39474.84028
F104,175374,9785717,27-Jan-08,20:20,39474.84722
F104,175023,9785789,27-Jan-08,20:26,39474.85139
F104,175000,9785809,27-Jan-08,20:28,39474.85278
F105,177382,9784910,27-Jan-08,19:20,39474.80556
F105,176882,9784797,27-Jan-08,19:30,39474.8125
F105,176882,9784797,27-Jan-08,19:30,39474.8125
F105,176882,9784797,27-Jan-08,19:30,39474.8125
F105,176586,9784944,27-Jan-08,19:40,39474.81944
F105,176279,9784782,27-Jan-08,19:50,39474.82639
Junior,177233,9784921,27-Jan-08,19:23,39474.80764
F101,171097,9780481,28-Jan-08,19:46,39475.82361
F101,170971,9779915,28-Jan-08,19:56,39475.83056
F101,170772,9778677,28-Jan-08,20:16,39475.84444
F101,170621,9777213,28-Jan-08,20:36,39475.85833
F104,179189,9786609,28-Jan-08,19:54,39475.82917
F104,179253,9787076,28-Jan-08,19:59,39475.83264
F104,179192,9787302,28-Jan-08,20:03,39475.83542
F104,179145,9787397,28-Jan-08,20:04,39475.83611
F104,179145,9787397,28-Jan-08,20:04,39475.83611
F104,178988,9787686,28-Jan-08,20:10,39475.84028
F104,178829,9787898,28-Jan-08,20:14,39475.84306
F104,178829,9787898,28-Jan-08,20:14,39475.84306
F104,179209,9787887,28-Jan-08,20:20,39475.84722
F104,179234,9787828,28-Jan-08,20:24,39475.85
F104,179234,9787828,28-Jan-08,20:24,39475.85
F104,179281,9787375,28-Jan-08,20:32,39475.85556
F104,179331,9787242,28-Jan-08,20:34,39475.85694
F104,179449,9786434,28-Jan-08,20:45,39475.86458
F104,179645,9785976,28-Jan-08,20:54,39475.87083
F104,179828,9785695,28-Jan-08,21:00,39475.875
F104,179931,9785442,28-Jan-08,21:04,39475.87778
F104,180133,9785077,28-Jan-08,21:11,39475.88264
F104,180156,9785047,28-Jan-08,21:14,39475.88472
F104,180156,9785047,28-Jan-08,21:24,39475.89167
F104,179928,9785006,28-Jan-08,21:32,39475.89722
F104,179748,9785663,28-Jan-08,21:42,39475.90417
F104,179672,9785825,28-Jan-08,21:44,39475.90556
F104,179629,9785872,28-Jan-08,21:52,39475.91111
F104,179629,9785872,28-Jan-08,21:54,39475.9125
F104,179388,9786305,28-Jan-08,22:04,39475.91944
F104,179329,9786704,28-Jan-08,22:14,39475.92639
F104,179465,9787238,28-Jan-08,22:24,39475.93333
F104,179465,9787238,28-Jan-08,22:24,39475.93333
F104,179564,9787488,28-Jan-08,22:30,39475.9375
F104,179369,9787683,28-Jan-08,22:34,39475.94028
F104,179360,9787921,28-Jan-08,22:42,39475.94583
F104,179275,9788009,28-Jan-08,22:44,39475.94722
F104,178997,9788272,28-Jan-08,22:50,39475.95139
F104,178805,9788448,28-Jan-08,22:54,39475.95417
F104,178718,9788598,28-Jan-08,22:57,39475.95625
F104,178709,9789085,28-Jan-08,23:04,39475.96111
F104,178612,9789444,28-Jan-08,23:09,39475.96458
F104,178534,9789652,28-Jan-08,23:12,39475.96667
F104,178576,9789770,28-Jan-08,23:14,39475.96806
F104,178370,9789966,28-Jan-08,23:21,39475.97292
F104,178358,9790138,28-Jan-08,23:24,39475.975
F104,178505,9790988,28-Jan-08,23:42,39475.9875
F104,178376,9791163,28-Jan-08,23:45,39475.98958
F104,178528,9791646,28-Jan-08,23:54,39475.99583
F105,178570,9782355,28-Jan-08,23:35,39475.98264
F105,178509,9782433,28-Jan-08,23:45,39475.98958
F105,178069,9782227,28-Jan-08,23:50,39475.99306
F105,178069,9782227,28-Jan-08,23:51,39475.99375
F105,178096,9782335,28-Jan-08,23:55,39475.99653
F105,175354,9785350,29-Jan-08,22:40,39476.94444
F105,177420,9785039,29-Jan-08,23:39,39476.98542
F105,178257,9782636,29-Jan-08,0:05,39476.00347
F105,178489,9784652,29-Jan-08,18:10,39476.75694
F105,178489,9784652,29-Jan-08,18:20,39476.76389
F105,178489,9784652,29-Jan-08,18:30,39476.77083
F105,178489,9784652,29-Jan-08,18:40,39476.77778
F105,178489,9784652,29-Jan-08,18:50,39476.78472
F105,178489,9784652,29-Jan-08,19:00,39476.79167
F105,178384,9784573,29-Jan-08,19:10,39476.79861
F105,178364,9784484,29-Jan-08,19:15,39476.80208
F105,178365,9784242,29-Jan-08,19:20,39476.80556
F105,178426,9783703,29-Jan-08,19:30,39476.8125
F105,179086,9783380,29-Jan-08,19:40,39476.81944
F105,179362,9783231,29-Jan-08,19:44,39476.82222
F105,179398,9783252,29-Jan-08,19:45,39476.82292
F105,179403,9783388,29-Jan-08,19:48,39476.825
F105,179462,9783377,29-Jan-08,19:50,39476.82639
F105,179400,9783079,29-Jan-08,20:00,39476.83333
F105,179026,9782591,29-Jan-08,20:10,39476.84028
F105,178877,9782327,29-Jan-08,20:16,39476.84444
F105,178799,9782353,29-Jan-08,20:19,39476.84653
F105,178707,9782469,29-Jan-08,20:20,39476.84722
F105,178414,9782288,29-Jan-08,20:29,39476.85347
F105,178414,9782288,29-Jan-08,20:30,39476.85417
F105,178364,9782348,29-Jan-08,20:32,39476.85556
F105,178306,9782448,29-Jan-08,20:32,39476.85556
F105,178182,9782535,29-Jan-08,20:34,39476.85694
F105,178092,9782583,29-Jan-08,20:36,39476.85833
F105,177883,9782620,29-Jan-08,20:40,39476.86111
F105,177751,9782742,29-Jan-08,20:43,39476.86319
F105,177430,9782773,29-Jan-08,20:49,39476.86736
F105,177375,9782789,29-Jan-08,20:50,39476.86806
F105,176953,9782911,29-Jan-08,21:00,39476.875
F105,176123,9783104,29-Jan-08,21:15,39476.88542
F105,176055,9783205,29-Jan-08,21:17,39476.88681
F105,175944,9783359,29-Jan-08,21:20,39476.88889
F105,175377,9783394,29-Jan-08,21:30,39476.89583
F105,175377,9783394,29-Jan-08,21:30,39476.89583
F105,175377,9783394,29-Jan-08,21:30,39476.89583
F105,175316,9783393,29-Jan-08,21:31,39476.89653
F105,175252,9783478,29-Jan-08,21:33,39476.89792
F105,175202,9783612,29-Jan-08,21:35,39476.89931
F105,175054,9783820,29-Jan-08,21:39,39476.90208
F105,175048,9783870,29-Jan-08,21:40,39476.90278
F105,174670,9784308,29-Jan-08,21:50,39476.90972
F105,174593,9784421,29-Jan-08,21:52,39476.91111
F105,174526,9784442,29-Jan-08,21:55,39476.91319
F105,174413,9784500,29-Jan-08,21:57,39476.91458
F105,174425,9784567,29-Jan-08,21:58,39476.91528
F105,174503,9784603,29-Jan-08,21:59,39476.91597
F105,174503,9784603,29-Jan-08,22:00,39476.91667
F105,174804,9785043,29-Jan-08,22:10,39476.92361
F105,175105,9785144,29-Jan-08,22:20,39476.93056
F105,175702,9785281,29-Jan-08,22:50,39476.95139
F105,176117,9785029,29-Jan-08,23:00,39476.95833
F105,176239,9784800,29-Jan-08,23:10,39476.96528
F105,176390,9784745,29-Jan-08,23:14,39476.96806
